trip_id,vehicle_id,geofence_id,stop_sequence,stop_type,planned_arrival,planned_departure
TRIP-5001,VH-501,RUH_DRY_PORT,1,ORIGIN,2026-06-05T06:00:00+03:00,2026-06-05T07:00:00+03:00
TRIP-5001,VH-501,JED_CUSTOMER_DC,2,DESTINATION,2026-06-05T17:00:00+03:00,2026-06-05T18:00:00+03:00
TRIP-5002,VH-502,DMM_PORT,1,ORIGIN,2026-06-05T07:00:00+03:00,2026-06-05T08:00:00+03:00
TRIP-5002,VH-502,RUH_STORE_14,2,DESTINATION,2026-06-05T15:00:00+03:00,2026-06-05T16:00:00+03:00
TRIP-5003,VH-503,JED_PORT,1,ORIGIN,2026-06-05T05:30:00+03:00,2026-06-05T06:30:00+03:00
TRIP-5003,VH-503,MAK_DC,2,DESTINATION,2026-06-05T11:30:00+03:00,2026-06-05T12:00:00+03:00
TRIP-5004,VH-504,RUH_DRY_PORT,1,ORIGIN,2026-06-05T06:45:00+03:00,2026-06-05T07:30:00+03:00
TRIP-5004,VH-504,DMM_CUSTOMER_YARD,2,DESTINATION,2026-06-05T16:30:00+03:00,2026-06-05T17:15:00+03:00
TRIP-5005,VH-505,JEA_YARD,1,ORIGIN,2026-06-05T08:00:00+04:00,2026-06-05T09:00:00+04:00
TRIP-5005,VH-505,AUH_STORE,2,DESTINATION,2026-06-05T13:00:00+04:00,2026-06-05T13:45:00+04:00

